imagem,ground_truth,detectado,acerto
03a6dddc-aaab-4b70-bb64-fff98c546c32_jpg.rf.e2ed0d39533d16dcc90776572671260c.jpg,HOG4II8,MNHIOG4HU8B,False
03cdfd59-523f-42a6-9dad-6c818f22da1c_jpg.rf.b0b67ca12d40fb40b65bda06b8a95aba.jpg,LZW7O27,LZW7O27,True
0435d493-de86-4136-8e0f-08f3b8b1d035_jpg.rf.4e720441096be35fd5dd8afab4e3942d.jpg,PHJ98O4,PHJ98O4,True
044d408d-a9f7-4395-a9c0-5af1f677974c_jpg.rf.c3b06f2fb58c22cb3f53b026d3a4d884.jpg,PXT236I,PXT236I,True
04c6f83d-a3ea-44a1-846c-9de17634a741_jpg.rf.8863ddd13c0a4648d136d9af5b4b34aa.jpg,KKPO55O,KKPO55O,True
0526d163-4bed-4ee5-887f-faab5295b2a9_jpg.rf.27a0ae045cd5c69c2f883f5703335778.jpg,PHX0F24,PHX0F24,True
053278eb-599e-4b2c-893a-30e1667d6847_jpg.rf.e08ef9c9a494a46fe218c3a7a3e36414.jpg,QHQ2289,QHQ2289,True
054c17b4-5bc2-46d0-becb-0c1d57f598ab_jpg.rf.46b2c0fff2416d33d7e437693bcc4a77.jpg,OAJ27II,OAJ27II,True
054c423d-bc47-4a97-9823-87f6fde0b9f8_jpg.rf.b0bfc72b73afeaa7f984bcd59c4feddd.jpg,FLL0A48,FLL0A48,True
054ce673-a3a9-4d0d-b900-e39f965f01c5_jpg.rf.84a6746ad5945e4deb7431c46cea5392.jpg,QUZ59O8,QUZ59O8,True
0691b243-a5e7-47ec-be02-c893029c97ce_jpg.rf.c2570d97eb61c26961b1ca0b2f7b08c6.jpg,EGB8O25,EGB8O25,True
0693a29c-5575-411f-b46e-5f9e742c2973_jpg.rf.ce5f5f20b0ffd3356d407535c1374708.jpg,QAV1H77,QAV1H77,True
06c967b2-3022-4828-b056-744b83df8163_jpg.rf.7b77d35fe8e44ba0ccbefed3e058d8d8.jpg,FEB22II,FEB22I,False
06c967b2-3022-4828-b056-744b83df8163_jpg.rf.a2a95a1b0021d4cacc9fb39db0ae356f.jpg,FEB22II,FEB22II,True
06e5f873-fe8d-417c-9220-5efd07cbd448_jpg.rf.9df39b62a5bea01956b633df7de0a2c4.jpg,NOS8588,NOS8588,True
07720fb6-371b-4f61-8b10-d3b6955015fc_jpg.rf.99a901d9269d9d8f833dabf05ab8c126.jpg,CMD5G01,CMD5G01,True
079ce70b-b007-4068-893a-2a1303e0a46c_jpg.rf.e7cfad9e515c0891794602234dbdd8c5.jpg,RJI3C51,RJI3C51,True
07f1a0e1-9edf-4986-9395-495a2fdae10b_jpg.rf.1b67aa43d172c99a4fe5e8578a6c9787.jpg,NAQ1A71,NAQ1A71,True
07f1a0e1-9edf-4986-9395-495a2fdae10b_jpg.rf.7a1b2607363e867b3242b527f2a36938.jpg,NAQ1A71,NAQ1A71,True
08111b43-ddcf-4a01-9d22-ccd12d52fd22_jpg.rf.1442c8a8168938598d168c3bc6a995b7.jpg,8P4Z23J,8P4Z23J,True
08111b43-ddcf-4a01-9d22-ccd12d52fd22_jpg.rf.83c7672ceb3643ccce541a89c7e30276.jpg,8P4Z2J3,8P4Z2J3,True
08111b43-ddcf-4a01-9d22-ccd12d52fd22_jpg.rf.8ad1b9f2b06648c1af4717a7e21ff05d.jpg,8P4Z23J,8P4Z23J,True
08a1dd3b-7cd8-4003-94e1-b9d007588d18_jpg.rf.78dafceadd105acf6deb7325e2e2acba.jpg,CXA7H17,CXA7H17,True
08ebaa8f-117d-4cea-a6b6-8c42e8989046_jpg.rf.985ee65e61fdd62bdde563efab933097.jpg,PHT5F76,PHT5F76,True
0941516f-bdee-4429-a098-5490c4763abe_jpg.rf.f771479df8294ee1b5b3a2be0dac7399.jpg,QZX3B66,QZX3B66,True
095b5da0-3d4b-442d-9c75-d71efb06152a_jpg.rf.768c7cc03ef6a7f2d62a47aa1d43205b.jpg,PHX0F24,PHX0F24,True
095db945-2416-4a8f-b315-cbc1838b14f3_jpg.rf.2974a33915eb567b6a46129ed62aa5e8.jpg,RTH9J15,RTH9J15,True
0997b9af-dc47-4e3c-99ee-dcc9b0b24fd3_jpg.rf.06fce831c491577cd7413514563e9dcb.jpg,KVS6C39,KVS6C39,True
09abb7b2-80c1-4d00-bf6a-f1baa8a432bf_jpg.rf.50cd75a2b4d0aa3a8b3e045ee67f8c01.jpg,PHT5F76,PHT5F76,True
09b65db6-ade6-4eca-ae03-f6225786c8a2_jpg.rf.d37e6ea14ae430c20072c376e3ac9546.jpg,PHJ6995,PHJ6995,True
09f6a035-42f2-48bd-aca3-63d5bfb68275_jpg.rf.d636dbc20377d9ceef88b523986a8dbc.jpg,FGP486I,FGP486I,True
09f76c1d-1f93-4085-8359-ea4a745c766d_jpg.rf.063e8d7cd9b8263c79714efb62cef90f.jpg,ELL8D11,ELL8D11,True
09f76c1d-1f93-4085-8359-ea4a745c766d_jpg.rf.6a9b1736a733b94276203ad7ac40f77f.jpg,ELL8D11,ELL8D11,True
0ab76d45-9d83-44d0-b1e3-0c1720ea4fe5_jpg.rf.a77b0dd95bf99938d61507ba86d83cfb.jpg,PHD52IO,PHD52IO,True
0ac23294-449a-44d2-a3fd-f028d78b6a7e_jpg.rf.fbe1df9e501326e4b059ac3b4b35d9b4.jpg,AXJ5A67,AXJ5A67,True
0b1e99cf-eab2-4745-b6e8-87b2ad8d4d0b_jpg.rf.74a328afbab5542ce1eca444f050762d.jpg,NOW28IO,NOW28IO,True
0c1f7cdb-352e-4b71-86fd-93076fab4f46_jpg.rf.7c0336f9c75fb7f65cf8d87db914752a.jpg,OZY6953,OZY6953,True
0c4d877a-9f9b-4bdb-a26f-9c963bac22c3_jpg.rf.98a09a4a594bfb9e207afa5b8696440a.jpg,MPI3849,MPI3849,True
0c4d877a-9f9b-4bdb-a26f-9c963bac22c3_jpg.rf.d98857a2be3f1e277387c223c654be1f.jpg,MPI3849,MPI3849,True
0d48dff0-0ace-49c7-9c01-c73baa671f98_jpg.rf.0369f0c1bd7541b3898e2d09ca0a4453.jpg,APR866I,APR866I,True
0d48dff0-0ace-49c7-9c01-c73baa671f98_jpg.rf.29582f6dcdb55bf01e850c6e42287958.jpg,APR866I,APR866I,True
0d48dff0-0ace-49c7-9c01-c73baa671f98_jpg.rf.32c3f83bf5d102b9d7f524de6a537d95.jpg,APR866I,APR866I,True
0dc6fb1a-2ce5-4581-aa36-17a99ff54d16_jpg.rf.52ae350941b5463d2a4f2b128e5358bd.jpg,PHD52IO,PHD52IO,True
0e08e75d-6304-4c83-a7b2-4d97458838e2_jpg.rf.19729e02dcc7493a6870cec2e4022906.jpg,IYTO237,IYTO237,True
0e0c46a6-e749-4147-9dc8-348fdc99c569_jpg.rf.165bc7243208840713d13a0441952747.jpg,NOT4672,NOT4672,True
0e3dcc59-feb0-48f6-a346-7d0aab4b55e7_jpg.rf.a18fb1d082a7659bb23310de526dd711.jpg,PHCI4I4,PHCI4I4,True
0f004a62-8749-4b10-9269-d3631689e22f_jpg.rf.e9e28f8a614386ea308f07a49beed504.jpg,BWZ1199,BWZ1B99,False
0f08e2f6-5cb3-4636-98d3-761106246239_jpg.rf.0779ac6a13439e7a67b25622bbb181a1.jpg,HVH5C36,HVH5C36,True
0f869cd4-6cbc-4ff1-a9c7-4dce008dcead_jpg.rf.662c0e0d226382f776a58c09736f17d2.jpg,KQY6E81,KQY6E81,True
0fb3a9e4-7a6c-4405-a464-efa2b8f4a6bd_jpg.rf.871244bcdfd36631673af801f111cc6e.jpg,QIS4684,QIS4684,True
0fb3a9e4-7a6c-4405-a464-efa2b8f4a6bd_jpg.rf.8e6366e1175e24c2591dd84afac71819.jpg,QIS4684,QIS4684,True
0fcc0db7-adf6-4aad-81eb-7e7b75ac68a2_jpg.rf.329dba0c28f4708742fafc81ebc7da94.jpg,QOA9D39,QOA9D39,True
0fcc0db7-adf6-4aad-81eb-7e7b75ac68a2_jpg.rf.6df10bbed8bb333fe6aee9fd8714f82d.jpg,QOA9D39,QOA9D39,True
10000239a1_png_jpg.rf.63e663d2168ffa5d666bb9ab49079900.jpg,TXH8Q48,TXH8Q48,True
10000239a1_png_jpg.rf.e94047982ca5d2183ca552f9d45aff55.jpg,TXH8Q48,TXH8Q48,True
1000056530_png_jpg.rf.a96390055b637976515e0e46adc03e99.jpg,VWVNYWK,VWVNYWK,True
1000090dab_png_jpg.rf.0b0739af77b3b1c360205efe7e8ec25c.jpg,ZTZ1Y96,ZTZ1Y96,True
10000c5969_png_jpg.rf.15addd8b9dbfc13fd318ddafa5614e6a.jpg,XUW4S23,XUW4S23,True
10000d95af_png_jpg.rf.bc78d4be5a4bd7846e802895e68b396a.jpg,XISNUVZ,XISNUVZ,True
10000dbea9_png_jpg.rf.0b74d3931bc46e8653087e4164e30280.jpg,XZV1L29,XZV1L29,True
100014cc7c_png_jpg.rf.ae02229c64cfbc0e43375499e4a3a746.jpg,YYJ2L92,YYJ2L92,True
1000151462_png_jpg.rf.0a5f6fa25fce68f6e0f990b33c268c18.jpg,RRR7R28,RRR7R28,True
1000160a8e_png_jpg.rf.df0c37a63f33334ea370a26a16937072.jpg,ZZZ1Z88,ZZZ1Z88,True
10001638ca_png_jpg.rf.0b17a726251aa0f64f357bc1b1ff7a68.jpg,TTS9S16,TTS9S16,True
10001638ca_png_jpg.rf.476e167bb34b8a3daf64e5ad38d89b3d.jpg,TTS9S16,TTS9S16,True
10001638ca_png_jpg.rf.5bf8c5ecf936898947153e8e33cf4d4b.jpg,TTS9S16,TTS9S16,True
1000166ac7_png_jpg.rf.1833fb67a0958dac87dc0ab373388cfc.jpg,TSIWXZZ,TSIWXZZ,True
100016851c_png_jpg.rf.e2fb805f8a58873afbb592ac9041433c.jpg,WUXVUUX,WUXVUUX,True
100017da67_png_jpg.rf.61e7c0ca08c201e55606d6cc75d80f87.jpg,QYN4N89,QYN4N89,True
100017fa10_png_jpg.rf.6d981952006532738a6614c55a9b3e5a.jpg,YWU3S75,YWU3S75,True
1000188d05_png_jpg.rf.1e352134f96863e82255e865331909a0.jpg,NVN1P61,NVN1P61,True
1000188d05_png_jpg.rf.9105767784e82dd9852add42485a00c4.jpg,NVN1P61,NVN1P61,True
10001bf3b9_png_jpg.rf.7c8f3188cfb9a6e4559f855d96be4724.jpg,XXXUUUV,XXXUUUV,True
10001d18af_png_jpg.rf.b21cc3cceae1343ccd89836adba1ba01.jpg,KKK1K98,KKK1K98,True
10001fade8_png_jpg.rf.b4321d6a8c36721019635ffa1f46544f.jpg,KRK3L31,KRK3L31,True
10001fade8_png_jpg.rf.b82aa012b561b8366e16cc12abf8d2bb.jpg,KRK3L31,KRK3L31,True
10001ff686_png_jpg.rf.2a702735e5e26fb0d03dc6f72c8a3950.jpg,NUX4U11,NUX4U11,True
10001ff686_png_jpg.rf.6a3a9bca83a14e3835e95c165e4cfe83.jpg,NUX4U11,NUX4U11,True
10001ff686_png_jpg.rf.95dc8810bb294acd89622fcebfbdc209.jpg,NUX4U11,NUX4U11,True
1000221614_png_jpg.rf.409f8578a9eb165b42d6a9df3485ef31.jpg,RYR1R99,RYR1R99,True
1000221614_png_jpg.rf.cba44c8b07b2b2020cb3dcbad9564c2d.jpg,RYR1R99,RYR1R99,True
1000223ac9_png_jpg.rf.0c4d6ba8d52786ff8ecd1a53c57b713d.jpg,WZNQVUW,WZNQVUW,True
10002465cc_png_jpg.rf.432634b9ae1ce927729506c89332f607.jpg,VNN3M42,VNN3M42,True
10002465cc_png_jpg.rf.7281b9d591259cf743458b6578f53bc0.jpg,VNN3M42,VNN3M42,True
100024c418_png_jpg.rf.fb63817896673395bca6729ebbea1667.jpg,RLKLKRZ,RLKLKRZ,True
1000272c7a_png_jpg.rf.00a7afb4195a3955df8622da9239fd01.jpg,TTW3T79,TTW3T79,True
1000272c7a_png_jpg.rf.96350fdc367f6ae37967c6a840a8c337.jpg,TTW3T79,TTW3T79,True
1000272c7a_png_jpg.rf.c09b24523a944930675d78e965adddcd.jpg,TTW3T79,TTW3T79,True
10002b409c_png_jpg.rf.e5e923d09fa39baaea8e1b6564ff0f65.jpg,TYSNNIT,TYSNNIT,True
10002b85cc_png_jpg.rf.52e7c052295bd0b21059893985988c18.jpg,RKL1J68,RKL1J68,True
10002b85cc_png_jpg.rf.f844fd26bdef31ef8901538e58313ee9.jpg,RKL1J68,RKL1J68,True
10002c3562_png_jpg.rf.b9491805ece012a1c8b5940ec0a1c0b3.jpg,WNDYUXS,WNDYUXS,True
10002cfb89_png_jpg.rf.e7b6506acc03a6eb5c6d00cf3c138c40.jpg,NUWUWUW,NUWUWUW,True
100031776b_png_jpg.rf.27a8a8c7d62f1073529d04830dab3536.jpg,SNU1W41,SNU1W41,True
100031776b_png_jpg.rf.923912326aef643b0556a44c6618802d.jpg,SNU1W41,SNU1W41,True
1000324968_png_jpg.rf.1ddde97699d06cf5d3bdbdecf4626de2.jpg,ZZW4W89,ZZW4W89,True
1000324968_png_jpg.rf.b2582d3ac4dc9386bc8e16626ca3a4d5.jpg,ZZW4W89,ZZW4W89,True
10003345ae_png_jpg.rf.acea39c595a27173e3d36a64a1755032.jpg,WWT3W11,WWT3W11,True
100033ff43_png_jpg.rf.32e9f26772b48a71a4e9688eef2a3d55.jpg,WWWVVVW,WWWVVVW,True
10003456c9_png_jpg.rf.dc98441415910df6ca4981d343f6d03e.jpg,XPX4P43,XPX4P43,True
1000366f04_png_jpg.rf.aac6599838327be6217859b84689aacf.jpg,XZTIHKN,XZTIHKN,True
1000398512_png_jpg.rf.5e3096724f8566d43baf06a6125d0c8d.jpg,SMQ1V11,SMQ1V11,True
10003a4056_png_jpg.rf.ab7362cd33048c3ef2977f8b93e866c8.jpg,VZW4W94,VZW4W94,True
10003a4056_png_jpg.rf.e1019a44352bb33b8719349deaaf613c.jpg,VZW4W94,VZW4W94,True
10003a96ce_png_jpg.rf.5c3e4aa72b4be60871b6f9dabdab065b.jpg,YLJ4L66,YLJ4L66,True
10003aeb21_png_jpg.rf.4db7688b74b6500317f109681bf396d1.jpg,TSY8V14,TSY8V14,True
10003b0383_png_jpg.rf.10c9aec8bec35d8ba5f0bed78e08dde7.jpg,XZV9L12,XZV9L12,True
10003e9fdf_png_jpg.rf.4525b4ecc564d9a9174919e85f731e54.jpg,DGSMTLI,DGSMTLI,True
10003ec255_png_jpg.rf.7caf471fde6685acd805360518578032.jpg,SVUYYNX,SVUYYNX,True
1000443735_png_jpg.rf.730b814a214a71b66988a277b506ee2f.jpg,NUSYUXZ,NUSYUXZ,True
1000443735_png_jpg.rf.9df8acc530181710e025dcbc685efe68.jpg,NUSYUXZ,NUSYUXZ,True
10004b72c9_png_jpg.rf.759ba7197765dbc689080956ba913734.jpg,MMM4M55,MMM4M55,True
10004bbab9_png_jpg.rf.4128ee60d81af6952ef98511813a216b.jpg,YSW1U41,YSW1U41,True
10004fe534_png_jpg.rf.70bb80800c2723c15564360ac9f15af1.jpg,NVY9N15,NVY9N15,True
10004fe534_png_jpg.rf.85fdfe80e4e373fd9ded4e222514ba3c.jpg,NVY9N15,NVY9N15,True
100052133c_png_jpg.rf.014fd6988dbfde29723d85284e85d307.jpg,NMQ4V66,NMQ4V66,True
10005323c9_png_jpg.rf.172efcb7bf3fc2017a86357faf8a339d.jpg,RNR8R69,RNR8R69,True
10005323c9_png_jpg.rf.5a11dfef2cac85dfc5ab4edb3b18b5d3.jpg,RNR8R69,RNR8R69,True
1000578298_png_jpg.rf.be5ebb924b097c4b079cc3ca271190d5.jpg,TVH4Y49,TVH4Y49,True
1000578298_png_jpg.rf.f5d41b363767da651b34d81eb120f4e0.jpg,TVH4Y49,TVH4Y49,True
1000585066_png_jpg.rf.db9173215ff3d9a4a79b0a8952ff15d1.jpg,ZVX1Z96,ZVX1Z96,True
1000586dcf_png_jpg.rf.9dbb1a8a8ccdea996ba6a75a8a19a280.jpg,SWY3U33,SWY3U33,True
100059e6c6_png_jpg.rf.ef7e9bae660521df88dd7cf92be77996.jpg,NWZYNIS,NWZYNIS,True
10005c4b71_png_jpg.rf.2b5269ee8e090361030fcf527389a840.jpg,TXZ2W31,TXZ2W31,True
10005c4b71_png_jpg.rf.aa648c82104f05a6065c92bf5152dc13.jpg,TXZ2W31,TXZ2W31,True
10005c4b71_png_jpg.rf.e9ec33ade6bdbb88388563f3207befdc.jpg,TXZ2W31,TXZ2W31,True
10005d4dda_png_jpg.rf.3b26de967a68b0b9b506ff4cbc89bf39.jpg,TNY1X18,TNY1X18,True
10005d4dda_png_jpg.rf.5105e9917a81ad7c8ed37b12e0582f18.jpg,TNY1X18,TNY1X18,True
10005e0082_png_jpg.rf.2ea159296f13174fe962131193b8d0fd.jpg,KZYWVXU,KZYWVXU,True
10005f3ed0_png_jpg.rf.b7dbe9a7df263c9cb81f487e66947b29.jpg,TUN6V16,TUN6V16,True
100061882e_png_jpg.rf.103b26e06f777eed47e09ad3d4dd018b.jpg,CLC1D21,CLC1D21,True
100061882e_png_jpg.rf.aa6643bfc0523255bf498d002df1e288.jpg,CLC1D21,CLC1D21,True
1000631ab5_png_jpg.rf.ece7a41b9c13c3af878c7c06e6e67c93.jpg,SUY9W11,SUY9W11,True
1000633a87_png_jpg.rf.0ea2e2ab5090fc3406d1225d441e3790.jpg,VSS1V91,VSS1V91,True
100064626e_png_jpg.rf.3dc5a2d149361785d3e5d5d9c08dbfd1.jpg,SXSWXNM,SXSWXNM,True
100064fb82_png_jpg.rf.8cad8bda99e19f09d31c319571d4eff3.jpg,QQQ1Q33,QQQ1Q33,True
100069c36e_png_jpg.rf.2e395f7d074c146f8156f28747eac4fa.jpg,UKK2K72,UKK2K72,True
10006ed329_png_jpg.rf.ba39755ea53e372bb8ed0e4c9b1d688f.jpg,RTT9T72,RTT9T72,True
10006f706c_png_jpg.rf.eaa59091a9780ec7bda2524249a90427.jpg,YYY1Y78,YYY1Y78,True
1000714158_png_jpg.rf.81e9c45863ac31ff4800d43055926903.jpg,VNE1V28,VNE1V28,True
1000714158_png_jpg.rf.ffd27ad12d09a463cbfa5007a17316b9.jpg,VNE1V28,VNE1V28,True
10007245c4_png_jpg.rf.8dc4b36d9028718f2cb995b4a90a2d44.jpg,NTY9W45,NTY9W45,True
100075fdfc_png_jpg.rf.2439f7f9f8884825ba83e2c4868cf368.jpg,YSTPNKR,YSTPNKR,True
1000791b82_png_jpg.rf.b81627ce7cdb056f44c32182e2751fb6.jpg,PNP4W69,PNP4W69,True
1000798b5d_png_jpg.rf.778fb54cd6185f410fbd976b87cb7e29.jpg,VQSNMHI,VQSNMHI,True
10007b3664_png_jpg.rf.1fbc7e41131080d2d584c67315834433.jpg,UVXIVXU,UVXIVXU,True
10007b3664_png_jpg.rf.f211d9fd768445e820728c4b1888b104.jpg,UVXIVXU,UVXIVXU,True
10007c4729_png_jpg.rf.32b6829fed451f6a93132980c1ba9c69.jpg,HUH2U55,HUH2U55,True
10007c4729_png_jpg.rf.b14c2b6c199108bdbe5a89ca93ed070a.jpg,HUH2U55,HUH2U55,True
10007eb2b2_png_jpg.rf.c1c1a73a73ba3d7a84a80839f226deb7.jpg,UXSHLIZ,UXSHLIZ,True
10007f21b9_png_jpg.rf.2d570d6648026a5c62319718b3528fa1.jpg,USN4X18,USN4X18,True
10007f4070_png_jpg.rf.49a1f1a214a6856e93889055506d22f5.jpg,XGX5G77,XGX5G77,True
1000855076_png_jpg.rf.4a73de5fad08b716d252670264dd5e8a.jpg,LJL3J44,LJL3J44,True
10008a2fa5_png_jpg.rf.0f811a8ac47eb6a925a0a8f5d9612c02.jpg,ZWX1T23,ZWX1T23,True
10008b16a5_png_jpg.rf.83aa513335eff49f724cf51572f3783b.jpg,ITXITIT,ITXITIT,True
10008b16a5_png_jpg.rf.a371611c20bc98cadfbed8bbd40bb42b.jpg,ITXITIT,ITXITIT,True
10008c0916_png_jpg.rf.fd3b18288ca16cfaa1ed0dcc5fa2e520.jpg,RRR3R66,RRR3R66,True
10008cb0f2_png_jpg.rf.344817878ceec4063fc8b877ff6eef6f.jpg,VVY1S98,VVY1S98,True
10008d4936_png_jpg.rf.2361733d44f751a3b38d8bf51b4f60d6.jpg,KIVSWIV,KIVSWIV,True
1000918e72_png_jpg.rf.2e4760bef2783882493b358c67412c8f.jpg,TYT6T66,TYT6T66,True
1000918e72_png_jpg.rf.485a8542602d20708aceefe87b456791.jpg,TYT6T66,TYT6T66,True
100091df31_png_jpg.rf.f4e4af4286a9981043751999cb2b8b04.jpg,NXVVNXN,NXVVNXN,True
1000954374_png_jpg.rf.a1ebf5d3989cdf37dc2b16fd87d0e47d.jpg,UVSXNYY,UVSXNYY,True
1000954374_png_jpg.rf.f744d336c5980b3146ccaf0f03c70108.jpg,UVSXNYY,UVSXNYY,True
100097dce3_png_jpg.rf.a895d31bda7761d952c0c6b132a4c845.jpg,YWY9S96,YWY9S96,True
100097dce3_png_jpg.rf.df6990b72bee64b22fe85191dd0b74b1.jpg,YWY9S96,YWY9S96,True
10009830fe_png_jpg.rf.b531ba4d51c657c130a720eac24469e6.jpg,XRN3Y57,XRN3Y57,True
10009901aa_png_jpg.rf.2a400406979a533f892bf0981b95e10c.jpg,VJTKLRQ,VJTKLRQ,True
10009b34c8_png_jpg.rf.0440221a6a311f126a1ebec1e1e95b43.jpg,SHS5H22,SHS5H22,True
10009e1b5d_png_jpg.rf.9da21bcefa8fb1fca8321bdcf89d5523.jpg,JQUWVXY,JQUWVXY,True
1000a53dde_png_jpg.rf.d4221533f1613c780c79576b77e34684.jpg,XSULHVY,XSULHVY,True
1000a85b07_png_jpg.rf.90e0492c03c5f4ca5a74bd51b2d62963.jpg,KIYXYZZ,KIYXYZZ,True
1000aa0f7f_png_jpg.rf.9816d728bd32298ba58c9bc1236fdf42.jpg,WZYWZYW,WZYWZYW,True
1000ab51c6_png_jpg.rf.7ab8770d96c98f75a36b77178c732b8b.jpg,YYS3U77,YYS3U77,True
1000ab51c6_png_jpg.rf.fd9d5858d5024b7e19d0f19e483e0ef2.jpg,YYS3U77,YYS3U77,True
1000abd13e_png_jpg.rf.17797a958b788bb9490c0a60fea01978.jpg,XZW3T12,XZW3T12,True
1000abd13e_png_jpg.rf.c34fb5d44db40fbe700700802a8c3fc3.jpg,XZW3T12,XZW3T12,True
1000ad6830_png_jpg.rf.4eb6bbc6f25e5814329c3e37d670f1c4.jpg,UVSZSSI,UVSZSSI,True
1000ae4caf_png_jpg.rf.3e4cbcf102e23829cebb9796941bbe13.jpg,VLZ7X82,VLZ7X82,True
1000ae4caf_png_jpg.rf.c647a641c26137fe3b7c30595b4fe342.jpg,VLZ7X82,VLZ7X82,True
1000b2a48c_png_jpg.rf.226e887d4e53eb496a437af87e464d89.jpg,TTYYMUY,TTYYMUY,True
1000b2cb8a_png_jpg.rf.e742184b567a88cf456ab39aa4b6a0e9.jpg,TUX1T19,TUX1T19,True
1000b4f248_png_jpg.rf.c7a15fc1677f896653d14d01cdd1fecc.jpg,NVW4N89,NVW4N89,True
1000b4f248_png_jpg.rf.e22f3d3a4ddd9a7cdc5feda1e8ea24ca.jpg,NVW4N89,NVW4N89,True
1000b6b212_png_jpg.rf.b9fcee98970f65b57e421ab62db0c2e5.jpg,HDIIDUS,HDIIDUS,True
1000b7d751_png_jpg.rf.9e95eae9e7f3eee1ed44e2ae6b671820.jpg,YVS1S56,YVS1S56,True
1000bd5028_png_jpg.rf.636770486bc3e2495f41eddc3bc90990.jpg,YGG1Y11,YGG1Y11,True
1000bda187_png_jpg.rf.b6e4edd0a7702a9a40f41c6051adb698.jpg,YXIHSTU,YXIHSTU,True
1000c31dba_png_jpg.rf.6156fbfb93641530824e3154564877f2.jpg,TZUXIDX,TZUXIDX,True
1000c3a88d_png_jpg.rf.1a4ed97955a5127f077aa45e4d0cdd91.jpg,WUZYXVK,WUZYXVK,True
1000c3a88d_png_jpg.rf.5103d7d0b4172d417fd99c6ff52c96c0.jpg,WUZYXVK,WUZYXVK,True
1000ca153e_png_jpg.rf.21605b534060a31650d192b56890a889.jpg,PPN1V14,PPN1V14,True
1000ca153e_png_jpg.rf.968f01c75ac9d1ccb4addaf1cd535c15.jpg,PPN1V14,PPN1V14,True
1000cb8bb8_png_jpg.rf.02405907fb93f0e4b9fdd48aa187f1ab.jpg,VNW1V49,VNW1V49,True
1000cbd1d0_png_jpg.rf.d082bcc901bb020899e4e24c2a37b66e.jpg,SMM4Q99,SMM4Q99,True
1000cc1910_png_jpg.rf.89d0e4e439fe1f05c5d88d80361b18ca.jpg,VTU1S98,VTU1S98,True
